0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
use,-0.032606,-0.065639,-0.249796,-0.372189,-0.088761,0.318097,-1.371359,0.623982,-1.389267,-0.368887,-0.613677,0.215263,0.519548,-0.568263,0.339651,-0.409584,0.674688,0.518957,-0.903726,-0.523384
school,-1.5143,-0.821361,-0.413064,-0.223944,-0.899661,0.263149,-1.376212,-0.326642,-1.705894,-0.541684,0.085754,0.789879,0.283344,-0.028308,0.033328,-0.85623,0.591579,0.700984,-0.717484,-0.224301
classroom,-1.408915,-0.383994,-0.216924,-1.001873,-1.074319,0.130986,-1.390473,-0.152829,-0.143971,0.145065,0.685883,1.349118,1.208249,0.337639,-0.127868,-2.006719,0.611225,1.309019,-1.254091,0.126758
easi,0.343747,0.008291,0.484019,0.379958,0.157521,0.26076,-0.368915,0.721921,-0.735379,-1.221799,-0.156307,0.447879,-0.80454,-1.399179,-0.865451,-0.27496,0.670607,0.257279,0.840927,0.510693
one,0.287354,-0.059241,0.153488,-0.229246,-0.744333,-0.736707,-0.944989,0.709773,-0.795961,-1.020076,-0.260281,-0.534571,0.229921,-1.373516,0.477042,-0.560281,0.479476,0.218588,-1.255284,-0.001185
listen,-0.343247,0.001165,0.540155,0.720528,-0.024879,0.620268,-0.770961,1.457209,-1.660684,-0.538734,0.283276,0.015915,-0.656673,-0.83322,0.877117,-0.024144,0.339849,0.153778,0.12063,0.049233
peopl,0.325451,-0.39052,0.647986,0.405558,-0.674926,-1.390997,-0.620292,0.631072,-0.803824,-0.417544,-1.164581,0.062919,-0.238224,-0.438513,0.008096,-1.110946,1.173382,0.13319,-0.471208,1.146874
realli,-0.063361,0.452508,-0.086673,0.990413,0.408635,-0.355159,-1.300228,1.137128,-0.511551,-0.179911,-0.759967,0.143651,0.293302,-0.614318,0.317836,-0.93084,0.531917,0.742741,-0.636257,0.116411
day,-2.100406,-0.717372,-0.754202,0.065904,-0.348644,-0.35827,-0.179531,0.43741,-1.257692,-1.474213,0.133679,-0.125697,-0.055129,-0.73047,-1.515576,0.394478,0.886432,-0.540162,0.315673,-0.041213
keep,-0.760522,-0.280501,-0.726948,1.470492,1.696753,0.205129,-0.060416,0.049526,-0.640025,-1.007007,0.267687,0.280813,0.653698,-0.793482,-0.901432,-0.530963,0.900603,0.208657,0.011665,0.808102
think,0.463812,0.10296,0.372763,0.36565,0.215523,-0.039641,-0.556311,1.001027,-1.166237,-0.671398,-0.098022,0.283309,-0.05589,-0.633275,0.370176,-1.350107,0.363281,0.579708,-0.18231,-0.022189
talk,0.187133,0.200445,0.523218,0.411768,-1.009385,-0.513496,-1.158505,1.029357,-0.836881,-0.142869,-0.717806,-0.021384,-0.26313,0.484661,0.518631,-0.982175,0.990064,1.055539,-0.294585,0.426932
