0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
knowledg,0.381658,0.585585,-0.029275,-0.356995,-0.084703,0.089056,0.694491,0.271691,0.027403,0.09915,0.194397,-0.146112,-0.226271,0.850957,-0.112636,-0.639855,0.223935,0.1911,0.286228,0.124961
content,-0.295139,0.879539,-0.450675,0.617001,-0.047196,1.031202,-0.328619,1.657075,-1.166286,-0.162171,0.444607,0.832275,-0.162338,0.220266,-0.042409,-1.230134,0.606391,1.276643,0.665573,-0.174504
access,-0.185502,-0.067982,0.161847,0.198572,-0.469378,0.06106,0.003516,0.735447,-0.873737,-1.048633,-0.207433,-0.450569,-1.092208,-1.439252,-0.565205,0.247202,0.910817,-0.421758,0.56371,0.474956
extent,0.186717,-0.045059,-0.057897,-0.128782,0.011955,-0.105867,0.140613,-0.247706,0.157869,0.025766,0.133757,-0.082639,0.15464,0.228621,-0.076227,0.008918,0.116479,-0.037308,-0.171235,0.095511
speed,-1.05593,0.400881,0.393155,0.874548,0.507562,1.056491,0.176517,0.721111,-1.130251,-0.020132,-0.999296,-0.158286,-0.78605,-0.431676,0.726585,-0.623024,-1.14918,-0.59216,0.899252,0.108886
peopl,0.325451,-0.39052,0.647986,0.405558,-0.674926,-1.390997,-0.620292,0.631072,-0.803824,-0.417544,-1.164581,0.062919,-0.238224,-0.438513,0.008096,-1.110946,1.173382,0.13319,-0.471208,1.146874
chanc,-0.631816,0.709653,-0.581332,0.567671,-0.499489,-0.302558,0.025792,0.134551,-0.343246,-0.232987,0.804304,-0.482841,0.006773,-0.108769,-0.559675,-0.494766,1.151803,0.774082,0.854807,0.183556
provid,-0.338654,-0.025961,-0.649882,0.236272,0.063923,-0.061858,0.295753,-0.440017,-1.774726,-1.182718,0.412524,-0.573302,0.236438,-0.206308,-0.430698,-0.654256,1.058847,0.539075,-0.251232,-0.178237
pace,-1.429152,0.412565,-0.268806,0.223124,0.450861,1.714147,-0.981896,1.937656,-1.313901,-0.950463,-1.310162,0.851374,-0.598875,-0.511138,-0.446328,-0.204908,0.861969,0.538144,1.063533,0.350909
mean,-1.041375,-0.328068,-0.167868,0.44553,-0.072286,0.074978,-0.703684,0.578084,-0.508573,-0.233186,-0.333058,0.453401,-0.148931,-0.555206,0.033757,-0.532707,0.5253,0.356258,0.270779,0.369719
record,-0.443076,0.228008,-0.217772,1.639884,0.633585,0.082472,-1.013868,1.159151,-2.243153,-0.859403,0.169176,-0.387449,0.154235,-2.645306,1.518844,0.356964,0.711479,0.391956,-0.268246,-1.239004
fave,0.015831,-0.014717,-0.019117,-0.033986,-0.041907,0.000963,-0.011122,0.02303,0.025659,-0.030223,0.000846,0.028298,-0.005879,0.013865,0.043315,-0.025669,0.014697,-0.017806,0.006485,-0.00859
great,-0.127911,-0.298834,0.166136,0.171506,-0.001011,-0.443784,-0.396502,-0.057533,-0.726063,-0.056823,-0.247292,-0.285255,0.09928,-0.957236,0.725118,-0.343561,0.34608,-0.021243,-0.369945,-0.165428
everyon,-0.313959,-0.344004,0.283863,0.313648,-0.874782,-0.5337,-0.497222,0.112115,-0.621358,-0.010422,-0.91298,0.040888,-0.41828,-0.301761,0.667176,-0.463047,0.584582,0.168877,-0.320917,1.118869
